"Naziv","Lokacija","Kapacitet","Racunari","Tabla","Projektor","GrafickaTabla"
"Kolarac 2","Studentski trg 5","120","NE","DA","DA","DA"
"Kolarac 3","Studentski trg 5","100","NE","DA","DA","DA"
"Raf01 (u)","Knez Mihailova 6 VI sprat","30","DA","DA","DA","DA"
"Raf02 (u)","Knez Mihailova 6 VI sprat","30","DA","DA","DA","DA"
"Raf03 (u)","Knez Mihailova 6 VI sprat","30","DA","DA","DA","DA"
"Raf04 (u)","Knez Mihailova 6 VI sprat","30","DA","DA","DA","DA"
"Raf05 (u)","Knez Mihailova 6 VI sprat","30","DA","DA","DA","DA"
"Raf06 (a)","Knez Mihailova 6 VI sprat","30","NE","DA","DA","NE"
"Raf07 (u)","Knez Mihailova 6 VI sprat","30","DA","DA","DA","DA"
"Raf08 (a)","Trg republike 5 III sprat","120","NE","DA","DA","DA"
"Raf09 (a)","Trg republike 5 III sprat","120","NE","DA","DA","DA"
"Raf10 (a)","Trg republike 5 III sprat","80","NE","DA","DA","DA"
"Raf11 (a)","Trg republike 5 III sprat","80","NE","DA","DA","DA"
"Raf12 (MD)","Knez Mihailova 10 VIII sprat","20","DA","NE","DA","NE"
"Raf13 (MD)","Knez Mihailova 10 VIII sprat","20","DA","NE","DA","NE"
"Raf14 (MD)","Knez Mihailova 10 VIII sprat","20","DA","NE","DA","NE"
"Raf15 (MD)","Knez Mihailova 10 VIII sprat","20","DA","NE","DA","NE"
"Raf16 (MD)","Knez Mihailova 10 VIII sprat","20","DA","NE","DA","NE"
"Raf18 (a)","Knez Mihailova 6 VIII sprat","70","NE","DA","DA","NE"
"Raf19 (a)","Knez Mihailova 6 VIII sprat","80","NE","DA","DA","NE"
"Raf20 (a)","Knez Mihailova 6 III sprat","110","NE","DA","DA","NE"
"Raf21 (a)","Knez Mihailova 6 III sprat","110","NE","DA","DA","NE"
"Rg01 (u)","Knez Mihailova 6 VI sprat","25","DA","DA","DA","DA"
"Rg02 (u)","Knez Mihailova 6 VI sprat","25","DA","DA","DA","DA"
"Rg04 (u)","Knez Mihailova 6 VI sprat","25","DA","DA","DA","DA"
"Rg06 (u)","Knez Mihailova 6 VI sprat","25","DA","DA","DA","DA"
"Rg07 (u)","Knez Mihailova 6 VI sprat","25","DA","DA","DA","DA"
